"name","decimalLatitude","decimalLongitude","basisOfRecord","year"
"Procyon lotor",30.81239,-94.02087,"HUMAN_OBSERVATION",2015
"Procyon lotor",40.91192,-81.75481,"HUMAN_OBSERVATION",2015
"Procyon lotor",35.50564,-93.31362,"HUMAN_OBSERVATION",2015
"Procyon lotor",41.35586,-88.16329,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.93216,-97.47903,"HUMAN_OBSERVATION",2015
"Procyon lotor",27.24385,-82.30045,"HUMAN_OBSERVATION",2015
"Procyon lotor",38.36521,-122.70281,"HUMAN_OBSERVATION",2015
"Procyon lotor",35.50771,-93.31466,"HUMAN_OBSERVATION",2015
"Procyon lotor",30.18241,-102.83231,"HUMAN_OBSERVATION",2015
"Procyon lotor",35.50697,-93.31291,"HUMAN_OBSERVATION",2015
"Procyon lotor",40.47648,-74.42047,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.96525,-96.68576,"HUMAN_OBSERVATION",2015
"Procyon lotor",32.67486,-117.2397,"HUMAN_OBSERVATION",2015
"Procyon lotor",38.36853,-122.50777,"HUMAN_OBSERVATION",2015
"Procyon lotor",37.17925,-80.69633,"HUMAN_OBSERVATION",2015
"Procyon lotor",41.44775,-112.33111,"HUMAN_OBSERVATION",2015
"Procyon lotor",10.38341,-85.3343,"HUMAN_OBSERVATION",2015
